Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales
Asteroids,2600,1980,Shooter,Atari,4.31,41.36,28.96,3.77
Missile Command,2600,1980,Shooter,Atari,2.76,29.08,3.58,6.81
Kaboom!,2600,1980,Misc,Activision,1.15,15.68,12.76,3.79
Defender,2600,1980,Misc,Atari,1.05,15.61,10.93,3.28
Boxing,2600,1980,Fighting,Activision,0.77,11.27,8.89,10.22
Ice Hockey,2600,1980,Sports,Activision,0.49,23.2,2.26,4.22
Freeway,2600,1980,Action,Activision,0.34,11.28,9.14,6.5
Bridge,2600,1980,Misc,Activision,0.27,13.96,9.18,2.93
Checkers,2600,1980,Misc,Atari,0.24,14.44,6.94,4.7
Pitfall!,2600,1981,Platform,Activision,4.5,26.93,0.63,0.28
Frogger,2600,1981,Action,Parker Bros.,2.2,9.05,10.95,1.93
Demon Attack,2600,1981,Shooter,Imagic,2.13,9.71,7.47,4.13
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.97,9,6.18,7.2
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.65,8.92,8.03,3.6
River Raid,2600,1981,Shooter,Activision,1.6,15,4.89,0.24
Donkey Kong,2600,1981,Platform,Coleco,1.46,9.01,8.49,2.53
Centipede,2600,1981,Shooter,Atari,1.36,7.02,9.09,0.98
Atlantis,2600,1981,Shooter,Imagic,1.27,9.43,0.4,0.41
Megamania,2600,1981,Shooter,Activision,1.1,12.78,3.75,3.54
Cosmic Ark,2600,1981,Shooter,Imagic,1.05,4.74,9.2,4.16
Donkey Kong Junior,2600,1981,Platform,Atari,0.97,6.38,4.46,6.04
Spider-Man,2600,1981,Action,Parker Bros.,0.93,10.83,2.71,4.18
Custer's Revenge,2600,1981,Action,Mystique,0.82,9.54,3.44,3.84
Alien,2600,1981,Action,20th Century Fox Video Games,0.79,9.66,5.14,0.06
Air Raid,2600,1981,Action,Men-A-Vision,0.77,8.41,5.49,0.47
Berzerk,2600,1981,Shooter,Atari,0.73,6.06,3.9,5.38
King Kong,2600,1981,Action,Tigervision,0.69,3.43,5.35,5.32
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.67,5.51,3.17,5.65
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.59,6.85,5.09,1.87
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.59,9.04,4.24,0.13
Raiders of the Lost Ark,2600,1981,Action,Atari,0.5,5.89,5.04,3.12
Grand Prix,2600,1981,Racing,Activision,0.48,6.03,5.86,0.36
Phoenix,2600,1981,Simulation,Atari,0.45,9.7,3.68,0.11
Jawbreaker,2600,1981,Action,Tigervision,0.45,5.28,4.19,4.35
Barnstorming,2600,1981,Action,Activision,0.43,4.99,5.73,0.65
Mouse Trap,2600,1981,Action,Coleco,0.4,8.25,4.24,0.07
Laser Blast,2600,1981,Action,Activision,0.39,8.52,3.59,0.08
Airlock,2600,1981,Action,Data Age,0.39,5.54,5.73,0.49
Dragonfire,2600,1981,Action,Imagic,0.37,6.99,4.51,0.3
Frogs And Flies,2600,1981,Action,Mattel Interactive,0.36,6.62,2.55,2.66
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.34,5.03,4.02,2.69
Carnival,2600,1981,Shooter,Coleco,0.34,5.99,4.37,0.48
Fireball,2600,1981,Action,Starpath Corp.,0.33,3.96,6.31,0.38
Astroblast,2600,1981,Action,Mattel Interactive,0.31,2.5,3.45,5.33
Fast Food,2600,1981,Action,Unknown,0.29,7.97,2.81,0.13
RealSports Football,2600,1981,Sports,Atari,0.26,6.91,2.85,1.91
Front Line,2600,1981,Action,Taito,0.24,4.34,2.71,3.96
